stations,replicates,years,s,h,j,h.effective
Kraimorie,a,2013,31,2.5240591719,0.735022882,12.4791490053
Kraimorie,b,2013,29,2.2163109139,0.6581871703,9.1734268052
Kraimorie,c,2013,33,2.5680321703,0.7344563468,13.040138405
Kraimorie,a,2013,31,2.3676732908,0.6894822694,10.6725314961
Kraimorie,b,2013,28,2.0749241185,0.622688107,7.9639421202
Kraimorie,c,2013,28,2.4371109233,0.7313809569,11.439942084
Kraimorie,a,2014,25,2.1231342323,0.6595887347,8.3572901711
Kraimorie,b,2014,37,2.4381985878,0.6752295806,11.452391672
Kraimorie,c,2014,32,2.3816472834,0.687198145,10.8227162689
Chukalya,a,2013,20,2.1399180877,0.7143222065,8.4987414493
Chukalya,b,2013,35,2.7778952979,0.7813286491,16.085130887
Chukalya,c,2013,30,2.567937814,0.755009935,13.0389080433
Chukalya,a,2013,29,2.7676553936,0.8219222585,15.9212611243
Chukalya,b,2013,26,2.4678566046,0.7574534934,11.7971338106
Chukalya,c,2013,23,2.4555412823,0.7831432984,11.6527392638
Chukalya,a,2014,34,2.839668777,0.8052689897,17.1100973407
Chukalya,b,2014,34,2.6721109709,0.7577531997,14.4704837435
Chukalya,c,2014,32,2.5083632993,0.7237606585,12.2848070456
Akin,a,2013,23,1.4493150439,0.4622285816,4.2601954689
Akin,b,2013,26,1.6418647908,0.5039337452,5.1647917937
Akin,c,2013,21,1.4002102551,0.4599112944,4.0560526828
Akin,a,2013,26,2.1695342229,0.665890098,8.7542055829
Akin,b,2013,23,1.940574508,0.6189054657,6.9627499772
Akin,c,2013,25,1.9668286369,0.6110296712,7.1479716913
Akin,a,2014,21,1.6535791641,0.5431325267,5.225649854
Akin,b,2014,27,1.8137921312,0.5503282489,6.1336630412
Akin,c,2014,24,2.2152699185,0.6970523587,9.1638822787
Sozopol,a,2013,20,0.698199995,0.233064884,2.0101312028
Sozopol,b,2013,15,0.8618320063,0.3182481646,2.367493987
Sozopol,c,2013,17,0.7909334372,0.2791648002,2.2054541188
Sozopol,a,2013,19,0.9080083439,0.3083807647,2.4793795413
Sozopol,b,2013,21,1.3191787292,0.4332957816,3.7403482766
Sozopol,c,2013,17,0.7333042983,0.2588242427,2.0819486337
Sozopol,a,2014,18,1.3628430697,0.4715113431,3.9072862125
Sozopol,b,2014,22,1.6658737899,0.538935914,5.290293836
Sozopol,c,2014,24,1.1963298896,0.376434747,3.3079540603
Agalina,a,2013,37,2.888274433,0.799872637,17.9622877123
Agalina,b,2013,35,2.7944864515,0.7859951834,16.3542279068
Agalina,c,2013,43,2.6275729607,0.6985996171,13.8401385458
Agalina,a,2013,38,2.9436340974,0.8092273195,18.9847133998
Agalina,b,2013,38,2.9083210341,0.7995194908,18.3260039878
Agalina,c,2013,38,2.9909257117,0.8222281426,19.9040994232
Agalina,a,2014,40,2.7934283432,0.7572566081,16.3369325141
Agalina,b,2014,40,2.6247191582,0.7115220735,13.8006978286
Agalina,c,2014,43,2.1463695647,0.570660826,8.5537481303
Paraskeva,a,2013,28,2.1154164858,0.6348399323,8.2930389798
Paraskeva,b,2013,25,2.1884854735,0.6798912392,8.9216907403
Paraskeva,c,2013,36,2.3998373487,0.6696873632,11.0213835928
Paraskeva,a,2013,30,2.0653256448,0.6072348685,7.8878661217
Paraskeva,b,2013,31,2.5368181432,0.7387383797,12.6393901913
Paraskeva,c,2013,28,2.026912275,0.6082796746,7.5906124132
Paraskeva,a,2014,27,1.2183883885,0.3696749682,3.3817332993
Paraskeva,b,2014,23,1.8875754345,0.6020025248,6.6033390282
Paraskeva,c,2014,23,2.0395518797,0.6504722188,7.6871636532
