station,year,month,biotope,S,H1,AMBI,BENTIX,M-AMBI,M-AMBIn,H.EQR,AMBI.EQR,BENTIX.EQR,M-AMBIn.EQR
Kraimorie,2013,6,ILitMMelin,31,3.641,3.292,2.594,0.719,0.86,0.91,0.451,0.432,0.989
Kraimorie,2013,6,ILitMMelin,29,3.197,3.682,2.277,0.719,0.771,0.799,0.386,0.38,0.886
Kraimorie,2013,6,ILitMMelin,33,3.705,3.521,2.442,0.719,0.875,0.926,0.413,0.407,1.006
Kraimorie,2013,9,ILitMMelin,31,3.416,3.621,2.272,0.659,0.818,0.854,0.396,0.379,0.94
Kraimorie,2013,9,ILitMMelin,28,2.993,3.623,2.257,0.659,0.744,0.748,0.396,0.376,0.855
Kraimorie,2013,9,ILitMMelin,28,3.516,3.449,2.496,0.659,0.805,0.879,0.425,0.416,0.925
Kraimorie,2014,7,ILitMMelin,25,3.063,3.742,2.205,0.731,0.71,0.766,0.376,0.368,0.816
Kraimorie,2014,7,ILitMMelin,37,3.518,3.633,2.499,0.731,0.894,0.88,0.394,0.417,1.028
Kraimorie,2014,7,ILitMMelin,32,3.436,3.582,2.435,0.731,0.834,0.859,0.403,0.406,0.959
Chukalya,2013,6,ILitMMelin,20,3.087,2.761,2.523,0.86,0.714,0.772,0.54,0.421,0.821
Chukalya,2013,6,ILitMMelin,35,4.008,2.93,2.385,0.86,0.961,1.002,0.512,0.397,1.105
Chukalya,2013,6,ILitMMelin,30,3.705,3.017,2.558,0.86,0.871,0.926,0.497,0.426,1.001
Chukalya,2013,9,ILitMMelin,29,3.993,3.184,2.426,0.764,0.878,0.998,0.469,0.404,1.009
Chukalya,2013,9,ILitMMelin,26,3.56,2.843,2.484,0.764,0.823,0.89,0.526,0.414,0.946
Chukalya,2013,9,ILitMMelin,23,3.543,3.043,2.232,0.764,0.776,0.886,0.493,0.372,0.892
Chukalya,2014,7,ILitMMelin,34,4.097,2.766,2.658,0.94,0.969,1.024,0.539,0.443,1.114
Chukalya,2014,7,ILitMMelin,34,3.855,3.026,2.339,0.94,0.93,0.964,0.496,0.39,1.069
Chukalya,2014,7,ILitMMelin,32,3.619,3.221,2.456,0.94,0.873,0.905,0.463,0.409,1.003
Akin,2013,6,ILitCSUpog,23,2.091,3.227,2.537,0.472,0.688,0.523,0.462,0.423,0.717
Akin,2013,6,ILitCSUpog,26,2.369,3.462,2.693,0.472,0.722,0.592,0.423,0.449,0.752
Akin,2013,6,ILitCSUpog,21,2.02,4.127,2.517,0.472,0.576,0.505,0.312,0.42,0.6
Akin,2013,9,ILitCSUpog,26,3.13,1.9,3.224,0.649,0.945,0.782,0.683,0.537,0.984
Akin,2013,9,ILitCSUpog,23,2.8,2.802,3.092,0.649,0.798,0.7,0.533,0.515,0.831
Akin,2013,9,ILitCSUpog,25,2.838,2.171,3.006,0.649,0.881,0.71,0.638,0.501,0.918
Akin,2014,7,ILitCSUpog,21,2.386,1.793,2.894,0.681,0.835,0.596,0.701,0.482,0.87
Akin,2014,7,ILitCSUpog,27,2.617,2.289,2.777,0.681,0.867,0.654,0.618,0.463,0.903
Akin,2014,7,ILitCSUpog,24,3.196,1.779,3.228,0.681,0.944,0.799,0.704,0.538,0.983
Sozopol,2013,6,ILitFSCham,20,1.007,0.261,5.652,0.479,0.657,0.252,0.956,0.942,0.755
Sozopol,2013,6,ILitFSCham,15,1.243,0.474,5.355,0.479,0.612,0.311,0.921,0.893,0.703
Sozopol,2013,6,ILitFSCham,17,1.141,0.35,5.516,0.479,0.631,0.285,0.942,0.919,0.725
Sozopol,2013,9,ILitFSCham,19,1.31,0.341,5.524,0.558,0.67,0.328,0.943,0.921,0.77
Sozopol,2013,9,ILitFSCham,21,1.903,0.634,5.22,0.558,0.734,0.476,0.894,0.87,0.844
Sozopol,2013,9,ILitFSCham,17,1.058,0.234,5.636,0.558,0.63,0.264,0.961,0.939,0.724
Sozopol,2014,7,ILitFSCham,18,1.966,0.688,5.867,0.646,0.703,0.492,0.885,0.978,0.808
Sozopol,2014,7,ILitFSCham,22,2.403,1.444,5.374,0.646,0.746,0.601,0.759,0.896,0.857
Sozopol,2014,7,ILitFSCham,24,1.726,0.498,5.882,0.646,0.758,0.432,0.917,0.98,0.871
Agalina,2013,6,ILitMSVar,37,4.167,1.457,2.933,1.1,1.194,1.042,0.757,0.489,1.244
Agalina,2013,6,ILitMSVar,35,4.032,1.319,3.163,1.1,1.174,1.008,0.78,0.527,1.223
Agalina,2013,6,ILitMSVar,43,3.791,1.186,2.9,1.1,1.24,0.948,0.802,0.483,1.292
Agalina,2013,9,ILitMSVar,38,4.247,1.337,3.226,1.097,1.222,1.062,0.777,0.538,1.273
Agalina,2013,9,ILitMSVar,38,4.196,1.448,3.354,1.097,1.207,1.049,0.759,0.559,1.257
Agalina,2013,9,ILitMSVar,38,4.315,1.398,3.356,1.097,1.223,1.079,0.767,0.559,1.274
Agalina,2014,7,ILitMSVar,40,4.03,1.331,3.59,1.124,1.221,1.008,0.778,0.598,1.272
Agalina,2014,7,ILitMSVar,40,3.787,1.261,3.169,1.124,1.204,0.947,0.79,0.528,1.254
Agalina,2014,7,ILitMSVar,43,3.097,1.049,2.832,1.124,1.185,0.774,0.825,0.472,1.234
Paraskeva,2013,6,ILitFSCham,28,3.052,0.661,5.09,0.928,0.923,0.763,0.89,0.848,1.061
Paraskeva,2013,6,ILitFSCham,25,3.157,0.503,5.005,0.928,0.909,0.789,0.916,0.834,1.045
Paraskeva,2013,6,ILitFSCham,36,3.462,0.736,4.981,0.928,1.047,0.866,0.877,0.83,1.203
Paraskeva,2013,9,ILitFSCham,30,2.98,0.561,5.252,0.893,0.944,0.745,0.906,0.875,1.085
Paraskeva,2013,9,ILitFSCham,31,3.66,0.872,4.816,0.893,1.003,0.915,0.855,0.803,1.153
Paraskeva,2013,9,ILitFSCham,28,2.924,0.523,5.316,0.893,0.918,0.731,0.913,0.886,1.055
Paraskeva,2014,7,ILitFSCham,27,1.758,0.17,5.719,0.774,0.813,0.44,0.972,0.953,0.934
Paraskeva,2014,7,ILitFSCham,23,2.723,0.655,5.455,0.774,0.835,0.681,0.891,0.909,0.96
Paraskeva,2014,7,ILitFSCham,23,2.942,1.332,5.149,0.774,0.817,0.736,0.778,0.858,0.939
