station,year,month,S,H1,AMBI,BENTIX,M-AMBI,M-AMBIn,H.EQR,AMBI.EQR,BENTIX.EQR
Poda,2013,6,25,3.005,4.614,2.188,0.592,0.374,0.751,0.231,0.365
Poda,2013,6,25,3.14,4.336,2.662,0.592,0.413,0.785,0.277,0.444
Poda,2013,6,19,2.682,4.363,2.215,0.592,0.297,0.67,0.273,0.369
Poda,2013,6,22,3.014,4.295,2.42,0.592,0.372,0.754,0.284,0.403
Poda,2014,7,19,3.118,2.162,3.735,0.679,0.521,0.78,0.64,0.622
Poda,2014,7,22,2.333,1.5,4.664,0.679,0.504,0.583,0.75,0.777
Poda,2014,7,26,2.795,1.488,4.446,0.679,0.6,0.699,0.752,0.741
Poda,2014,7,21,3.08,1.744,4.091,0.679,0.568,0.77,0.709,0.682
Otmanli,2013,6,19,3.208,4.091,2.736,0.674,0.383,0.802,0.318,0.456
Otmanli,2013,6,28,3.067,3.992,2.664,0.674,0.459,0.767,0.335,0.444
Otmanli,2013,6,31,3.731,3.235,3.317,0.674,0.628,0.933,0.461,0.553
Otmanli,2013,6,24,3.182,4.529,2.424,0.674,0.393,0.796,0.245,0.404
Otmanli,2014,7,26,3.063,2.99,3.474,0.746,0.517,0.766,0.502,0.579
Otmanli,2014,7,25,3.321,2.667,3.586,0.746,0.564,0.83,0.556,0.598
Otmanli,2014,7,27,2.974,2.663,3.764,0.746,0.541,0.744,0.556,0.627
Otmanli,2014,7,30,3.161,3.134,3.484,0.746,0.556,0.79,0.478,0.581
Vromos,2014,7,18,2.678,3.504,2.168,0.511,0.353,0.67,0.416,0.361
Vromos,2014,7,14,2.501,2.81,2.234,0.511,0.347,0.625,0.532,0.372
Vromos,2014,7,22,2.628,3.53,2.203,0.511,0.383,0.657,0.412,0.367
Vromos,2014,7,19,2.759,2.826,2.259,0.511,0.426,0.69,0.529,0.376
Gradina,2013,6,35,2.691,1.973,4.473,0.805,0.636,0.673,0.671,0.745
Gradina,2013,6,30,2.3,0.856,5.186,0.805,0.626,0.575,0.857,0.864
Gradina,2013,6,28,3.149,1.937,4.411,0.805,0.628,0.787,0.677,0.735
Gradina,2013,6,30,2.112,0.793,5.281,0.805,0.608,0.528,0.868,0.88
Gradina,2014,7,27,3.34,2.502,3.084,0.895,0.599,0.835,0.583,0.514
Gradina,2014,7,30,2.954,1.303,4.567,0.895,0.672,0.738,0.783,0.761
Gradina,2014,7,28,2.297,0.933,5.053,0.895,0.601,0.574,0.844,0.842
Gradina,2014,7,27,3.507,1.789,3.837,0.895,0.674,0.877,0.702,0.64
Ropotamo,2013,6,31,3.287,4.574,2.307,0.685,0.469,0.822,0.238,0.384
Ropotamo,2013,6,30,3.081,4.383,2.775,0.685,0.449,0.77,0.27,0.462
Ropotamo,2013,6,32,3.135,4.152,2.753,0.685,0.493,0.784,0.308,0.459
Ropotamo,2013,6,35,3.611,3.64,2.998,0.685,0.62,0.903,0.393,0.5
