station,year,replicate,shoot_count,ag_biomass_wet,bg_biomass_wet
Gradina1,2013,1,92,33.019999999999996,45.06
Gradina1,2013,2,57,48.69,53.730000000000004
Gradina1,2013,3,86,106.11,29.14
Gradina1,2013,4,126,65.1,64.86
Gradina1,2013,5,95,20.39,14.61
Gradina2,2013,1,38,155.82000000000002,62.55
Gradina2,2013,2,170,150.54,97.79
Gradina2,2013,3,119,87.87,92.39
Gradina2,2013,4,132,134.27,127.17
Gradina2,2013,5,94,118.86000000000001,93.53
Otmanli1,2013,1,89,40.879999999999995,25.83
Otmanli1,2013,2,121,38.75,63.39
Otmanli1,2013,3,112,46.8,31.71
Otmanli1,2013,4,236,26.740000000000002,85.39
Otmanli1,2013,5,226,29.75,50.120000000000005
Otmanli2,2013,1,67,21.41,17.17
Otmanli2,2013,2,152,47.129999999999995,22.290000000000003
Otmanli2,2013,3,72,20.87,9.18
Otmanli2,2013,4,67,23.88,18.55
Otmanli2,2013,5,84,15.42,22.34
Poda1,2013,1,146,56.88,13.11
Poda1,2013,2,187,76.64,15.82
Poda1,2013,3,147,50.83,24.26
Poda1,2013,4,147,53.56,13.15
Poda1,2013,5,188,63.38,12.4
Poda2,2013,1,265,132.63,26.81
Poda2,2013,2,273,98.13,41.45
Poda2,2013,4,187,61.2,32.42
Poda2,2013,5,150,77.03,30.74
Ropotamo1,2013,1,130,75,72.03
Ropotamo1,2013,2,168,43.29,24.75
Ropotamo1,2013,3,194,69.62,50.12
Ropotamo1,2013,4,204,54.64,28.270000000000003
Ropotamo1,2013,5,128,63.08,85.82
Ropotamo2,2013,1,70,28.21,15.87
Ropotamo2,2013,2,85,52.44,26.48
Ropotamo2,2013,3,141,75.35,32.7
Ropotamo2,2013,4,94,46.14,24.13
Ropotamo2,2013,5,124,44.82,49.2
Gradina1,2014,1,124,87.57,93.37
Gradina1,2014,2,117,67.71,173.12
Gradina1,2014,3,133,45.73,78.32
Gradina1,2014,4,115,53.86,103.15
Gradina1,2014,5,89,26.35,109.27
Gradina2,2014,1,186,41.190000000000005,65.42999999999999
Gradina2,2014,2,134,23.27,60.47
Gradina2,2014,3,145,39.98,81.47000000000001
Gradina2,2014,4,162,34.25,57.77
Gradina2,2014,5,119,23.84,78.74000000000001
Otmanli1,2014,1,126,36.75,20.810000000000002
Otmanli1,2014,2,103,27.290000000000003,53.35
Otmanli1,2014,3,93,22.529999999999998,26.62
Otmanli1,2014,4,118,37.1,52.39
Otmanli1,2014,5,116,44.47,36.6
Otmanli2,2014,1,123,43.64,50.1
Otmanli2,2014,2,134,30.17,52.71
Otmanli2,2014,3,167,48.27,54.57
Otmanli2,2014,4,173,79.35000000000001,37.62
Otmanli2,2014,5,137,43.62,75.86
Poda1,2014,1,147,51.3,21.33
Poda1,2014,2,165,65.07,24.89
Poda1,2014,3,128,41.68,10.51
Poda1,2014,4,142,41.75,15.08
Poda1,2014,5,134,49.13,20.37
Poda2,2014,1,101,38.08,10.33
Poda2,2014,2,115,24.49,11.22
Poda2,2014,3,161,47.14,13.05
Poda2,2014,4,115,30.98,9.83
Vromos1,2014,1,121,28.52,40.19
Vromos1,2014,2,131,26.93,54
Vromos1,2014,3,193,38.07,36.23
Vromos1,2014,4,195,92.01,78.5
Vromos1,2014,5,102,25,43.36
Vromos2,2014,1,178,35.3,50.49
Vromos2,2014,2,200,43.959999999999994,65.09
Vromos2,2014,3,194,46.83,49.75
Vromos2,2014,4,158,47.05,45.89
Vromos2,2014,5,134,25.54,50.09
Gradina1,2012,1,107,57.99,39.21
Gradina1,2012,2,58,19.42,49.19
Gradina1,2012,3,165,33.57,38.92
Gradina1,2012,4,131,41.099999999999994,30.58
Gradina1,2012,5,20,26.29,24.3
Gradina2,2012,1,312,45.86,55.97
Gradina2,2012,2,218,39.85,45.95
Gradina2,2012,3,244,38.35,46.02
Gradina2,2012,4,332,60.43,52.18
Gradina2,2012,5,88,42.230000000000004,51.43
Konski1,2012,1,32,11.78,23.887
Konski1,2012,2,74,5.54,34.85
Konski1,2012,3,204,19.990000000000002,57.14
Konski1,2012,4,39,14.209999999999999,31.369999999999997
Konski1,2012,5,209,11.34,19.3
Konski2,2012,1,99,58.28999999999999,72.07
Konski2,2012,2,156,38.84,42.95
Konski2,2012,3,84,57.85,47.79
Konski2,2012,4,92,14.97,17.84
Konski2,2012,5,51,20.29,35.589999999999996
Ribka1,2012,1,151,78.63,61.75
Ribka1,2012,2,215,44.50000000000001,55.419999999999995
Ribka1,2012,3,57,36.13,36.78
Ribka1,2012,4,31,31.54,49.47
Ribka1,2012,5,211,65.16999999999999,35.4
Ribka2,2012,1,162,92.5,61.489999999999995
Ribka2,2012,2,94,58.24999999999999,48.83
Ribka2,2012,3,82,60.169999999999995,63.07
Ribka2,2012,4,59,42.51,43.099999999999994
Ribka2,2012,5,59,24.35,33.16
