station,month,year,habitat,TOM,moisture_content,mean_grain_size,sorting,gravel,sand,silt_clay,Cu,Pb,Zn,Cd,Mn,Fe,Ni
Kraimorie,6,2013,S,2.6687430188361247,24.96006213050135,230.77014743001502,4.827673778466625,29.29108109031295,63.228661981601654,7.48025692808543,38.39,33.801,45.599,3.475,350.843,13892.415,27.528
Kraimorie,9,2013,S,2.32058513239503,26.3788179132566,236.883791582655,4.30097060798459,34.4206292681571,61.502296004816,4.07707472702696,38.39,33.801,45.599,3.475,350.843,13892.415,27.528
Kraimorie,7,2014,S,3.01690090527722,23.5413063477461,224.656503277375,5.35437694894866,24.1615329124688,64.9550279583873,10.8834391291439,38.39,33.801,45.599,3.475,350.843,13892.415,27.528
Chukalya,6,2013,S,1.707946433981175,26.4509202839165,223.115514557058,4.1525261063767704,19.3405824042086,78.0537300795344,2.60568751625697,8.514,24.163,12.746,1.476,310.089,6258.415,5.364
Chukalya,9,2013,S,1.66814061296004,24.3282134254755,76.2714346077087,1.86092860200635,10.4236319952602,85.2866763161022,4.28969168863765,8.514,24.163,12.746,1.476,310.089,6258.415,5.364
Chukalya,7,2014,S,1.74775225500231,28.5736271423575,76.7628893575409,1.8604888144125,11.4191047559361,86.4980868634473,2.08280838061664,8.514,24.163,12.746,1.476,310.089,6258.415,5.364
Akin,6,2013,S,1.28455024605646,21.397869712230552,75.1053365517636,1.12251498823786,2.04127267680812,94.549305195795,3.40942212739688,15.06,31.113,22.366,1.491,359.294,13050.248,4.871
Akin,9,2013,S,1.21644993152362,21.0099610082284,75.0843032854605,1.12051927149884,1.21588652743852,96.0278650189851,2.75624845357642,15.06,31.113,22.366,1.491,359.294,13050.248,4.871
Akin,7,2014,S,1.3526505605893,21.7857784162327,75.0851268050719,1.11817253252234,0.303217111500211,97.8303078888898,1.86647499960996,15.06,31.113,22.366,1.491,359.294,13050.248,4.871
Sozopol,6,2013,S,1.51091761875211,23.46938696958535,74.98857904593115,1.120850541537195,0.9989209624915479,95.78706796969405,3.2140110678143996,2.842,12.314,23.004,4.736,129.296,3190.189,1.691
Sozopol,9,2013,S,1.55659074561082,24.4562700511458,74.875267353799,1.12198766814617,1.02889323289929,94.935281252242,4.0358255148587,2.842,12.314,23.004,4.736,129.296,3190.189,1.691
Sozopol,7,2014,S,1.4652444918934,22.4825038880249,75.1018907380633,1.11971341492822,0.968948692083806,96.6388546871461,2.3921966207701,2.842,12.314,23.004,4.736,129.296,3190.189,1.691
Agalina,6,2013,S,2.098726947410165,29.8892142600315,245.790190943415,4.30113903545507,43.7555412471324,55.1754261480145,1.06903260485312,15.976,104.142,81.953,2.959,303.55,7245.858,7.396
Agalina,9,2013,S,2.24017944399708,30.1245752238699,244.290833103315,4.30264005631395,42.2072430606192,56.233560685163155,1.559196254217705,15.976,104.142,81.953,2.959,303.55,7245.858,7.396
Agalina,7,2014,S,1.95727445082325,29.6538532961931,242.791475263215,4.30414107717283,40.658944874106,57.2916952223118,2.04935990358229,15.976,104.142,81.953,2.959,303.55,7245.858,7.396
Paraskeva,6,2013,S,2.099093809030825,31.10760354736405,75.207871355774,1.11821613909489,0.768422657534498,97.7961634417275,1.43541390073802,5.759,22.303,122.029,0.914,127.514,4224.04,2.651
Paraskeva,9,2013,S,1.6750460588804,27.1170625634781,75.1954955205983,1.11813935110712,0.871274091679211,97.9528736903268,1.17585221799397,5.759,22.303,122.029,0.914,127.514,4224.04,2.651
Paraskeva,7,2014,S,2.52314155918125,35.09814453125,75.242423534174,1.1166739149494,0.280228932605713,99.0192381369288,0.700532930465495,5.759,22.303,122.029,0.914,127.514,4224.04,2.651
