species,Ntotal,sand,shoot_count,ag_biomass_wet,bg_biomass_wet
Polydora ciliata,25.833258366576672,10.787059018891114,4.281382781883281,1.7297197626676564,26.765695720751182
Alitta succinea,19.750751204935284,0.20435930791867918,1.3356570487055848,1.205721679465725,21.194301639536782
Spio filicornis,17.2828777328599,0.0752646247225357,5.1610053112557495,0.2801226479766683,22.77271893096784
Mytilaster lineatus,15.75029824430814,1.0733486932157348,5.489368330881575,2.0493733162488468,18.50043767996314
Monocorophium acherusicum,14.561059176486737,0.23434301324516582,18.823720965763442,0.040113727012254685,6.0039190353135155
Amphibalanus improvisus,10.874348115130488,1.1850401658373642,0.22421677543755436,0.032811828297425905,13.253080581465099
Ampithoe sp.,10.407890094074851,1.1623574511148078,0.23032721902534803,4.3106665527505825,1.4096950749120651e-4
Upogebia pusilla,10.022548315595468,1.1448067788677463e-4,9.251355356205693e-4,2.1333388864341885e-4,0.0017317735848330074
Chironomidae larvae,9.647784953255753,1.1320118121105338e-4,8.529936359860102e-4,1.9822231041288774e-4,0.0016156797051714022
Exogone naidina,7.770665685182479,3.2663075897770284,0.6976439300605684,0.003723411344662253,9.10448946100928e-6
Abra alba,6.177180886219503,19.420252815500604,0.5062806356709331,0.10625974354469747,3.620137420478315
Ampelisca diadema,5.8462676525452935,25.503261651742832,27.113023695308527,1.8435658828057626,0.008178807777738939
Apseudopsis ostroumovi,5.466183444226857,5.210860269917646,10.60390877080124,9.82619234769382,27.424874681307003
Microdeutopus gryllotalpa,5.334366515490359,1.1483096990548347,3.030102075062871,6.73855160253504,0.29907506618292246
Protodorvillea kefersteini,5.159363738735436,0.9940209913997506,0.7303235654803473,4.489445317639493,37.7346286522115
Oligochaeta,5.007333598282116,1.8357682344233694,12.358996180699421,1.525648532123796,14.666065172206174
Syllis hyalina,4.551097682582743,1.1480162816468464e-4,9.747413108556202e-4,2.2346622378499603e-4,0.001808185585597144
Nototropis guttatus,4.5256326324296126,1.5551440918130552,4.116908256698046,0.5626295375661172,7.217840946719406
Micromaldane ornithochaeta,4.195232702274264,6.449208900425996,1.4695157638655587e-4,-2.6999831455043477e-6,6.61605022109768e-5
Polychaeta larvae,4.157056238464829,5.503994380262611e-7,0.0015799955442297176,6.8269321360503454e-6,1.655042477644031e-4
Polygordius neapolitanus,4.157056238464829,5.503994380262611e-7,0.0015799955442297176,6.8269321360503454e-6,1.655042477644031e-4
Eteone flava,4.157056238462926,5.503966757913759e-7,0.0015799955447155511,6.826932236414507e-6,1.6550424729810942e-4
Phyllodoce sp.,4.157056238462926,5.503966757913759e-7,0.0015799955447155511,6.826932236414507e-6,1.6550424729810942e-4
Abra sp.,4.157056238461457,5.504004869649748e-7,0.0015799955477397987,6.826930290415589e-6,1.655042467509915e-4
Melinna palmata,3.9744883884407614,1.8257836935389093,5.310118998682171,13.19839789977609,3.596818344592613
Tricolia pullus,3.9029482874007115,0.4453087776020652,0.011504190683325533,1.308419447568376,10.373966522903046
Prionospio cirrifera,3.8865161936579113,48.84758414925821,0.004839180899466555,2.8689465059659938,0.8678201936426433
Micronephthys stammeri,3.8276383568977153,0.6135612380109343,1.07880867281669,0.024987950442540097,4.231487852734972e-5
Syllis gracilis,3.3432543887577424,0.43172574204353964,1.1317885851588727,1.4867440732539876,26.466876967307115
Eunice vittata,3.0826109177303493,3.1914343414456425,0.6647066294878492,-1.2260518946760612e-5,6.132516973593738e-4
