station,Ntotal_mean,Ninorg_mean,NH4_mean,NO3_mean,PO4_mean,chl_a_mean,seston_mean,secchi_mean,salinity_mean,O2,O2_bottom,temperature,temperature_bottom
Kraimorie,19.61,4.3,1.09,2.63,0.34,3.22,2.29,3.27,16.42,7.9656666666666665,5.9025,24.342777777777776,22.725
Chukalya,19.21,4.01,0.96,2.35,0.32,3.09,2.42,4.39,16.53,7.6295192307692306,5.2025,23.23131868131868,21.125
Akin,17.19,3.53,0.84,2.07,0.27,3.06,2.17,5.19,16.68,8.324065170940171,7.51,23.66837606837607,21.2
Sozopol,17.56,3.42,0.66,2.57,0.17,2.72,1.48,6.35,15.97,8.323346445221446,7.9925,23.986800699300698,23.275
Agalina,17.52,3.43,0.72,2.53,0.15,2.52,1.28,6.99,16.02,8.074047619047619,6.9799999999999995,23.176190476190477,21.933333333333334
Paraskeva,15.66,3.2,0.65,2.17,0.12,2.24,1.19,7.35,15.71,7.930909090909091,7.475,23.863636363636363,23.65
Poda,22.46,2.74,0.91,1.75,0.7,4.47,2.55,3,15.99,7.774047619047619,6.713333333333333,25.103809523809524,24.5
Otmanli,20.08,2.08,0.64,1.37,0.23,3.67,1.86,4.25,16.22,8.1035,7.12,23.015,22.35
Vromos,16.7,1.84,0.71,1.08,0.24,3.49,1.95,NaN,16.27,NA,NA,NA,NA
Gradina,18.26,2.22,0.6,1.57,0.14,3.02,1.44,5.5,16.45,8.468,8.717500000000001,21.13279761904762,20.775
Ropotamo,23.78,5.34,0.87,4.38,0.43,4.73,2.33,6.38,15.86,8.434553571428571,9.8,22.14017857142857,21.55
Konski,18.68,3.76,0.91,2.45,0.2,3.73,1.85,5.13,16.27,7.874570105820106,8.046666666666667,24.03637566137566,23.966666666666665
Ribka,18.85,4.11,1.14,2.52,0.25,3.47,2.49,5.04,16.32,7.6994444444444445,8.46,21.1,21
